id,japanese,pronounce,english,familiar,show_cnt,last_show,score
938,将来,しょうらい,"future (usually near), prospects",0,0,0,0.0
939,承知,しょうち,"① acknowledgment, acknowledgement, awareness ② consent, acceptance, assent, admitting, compliance, agreement",0,0,0,0.0
940,招待,しょうたい,invitation,0,0,0,0.0
941,笑う,わらう,"① to laugh ② to smile ③ to sneer, to ridicule",0,0,0,0.0
942,紹介,しょうかい,"introduction, referral",0,0,0,0.0
943,畳,たたみ,tatami mat (Japanese straw floor coverings),0,0,0,0.0
944,触る,さわる,"to touch, to feel",0,0,0,0.0
945,政治,せいじ,"politics, government",0,0,0,0.0
946,席,せき,"① seat ② location (of a gathering, etc.), place ③ position, post",0,0,0,0.0
947,赤ん坊,あかんぼう,baby,0,0,0,0.0
948,折る,おる,"to break, to fold, to pick flowers",0,0,0,0.0
949,折れる,おれる,"to break, to be folded, to give in, to turn (a corner)",0,0,0,0.0
950,専門,せんもん,"speciality, specialty, subject of study, expert",0,0,0,0.0
951,戦争,せんそう,war,0,0,0,0.0
952,祖父,そふ,① grandfather ② old man ③ kyogen mask used for the role of an old man,0,0,0,0.0
953,祖母,そぼ,grandmother,0,0,0,0.0
954,続く,つづく,"① to continue, to last, to go on ② to be unbroken ③ to occur again and again ④ to lead to, to connect to",0,0,0,0.0
955,続ける,つづける,"to continue, to keep up, to keep on",0,0,0,0.0
956,卒業,そつぎょう,"graduation, completion (e.g. of a course)",0,0,0,0.0
957,男性,だんせい,"① man, male ② masculine gender",0,0,0,0.0
958,地震,じしん,earthquake,0,0,0,0.0
959,恥ずかしい,はずかしい,"shy, ashamed, embarrassed",0,0,0,0.0
960,珍しい,めずらしい,"① unusual, rare, curious ② new, novel ③ fine (e.g. gift)",0,0,0,0.0
961,程,ほど,"① degree, extent, bounds, limit ② indicates approx. amount or maximum, upper limit",0,0,0,0.0
962,適当,てきとう,"① suitable, adequate, relevant, appropriate, fit ② random, halfhearted, on the spot, whatever works",0,0,0,0.0
963,電灯,でんとう,electric light,0,0,0,0.0
964,電報,でんぽう,telegram,0,0,0,0.0
965,塗る,ぬる,"to paint, to plaster, to lacquer, to varnish, to spread, to smear",0,0,0,0.0
966,土産,みやげ,"present, souvenir",0,0,0,0.0
967,怒る,おこる,"① to get angry, to get mad ② to tell someone off, to scold ③ to be angular, to be square",0,0,0,0.0
968,倒れる,たおれる,"① to fall, to collapse, to drop, to fall senseless ② to be forced to bed (by illness, etc.) ③ to die ④ to go bankrupt, to be ruined, to have a bad debt ⑤ to be defeated (in a game) ⑥ to fall (of governments, dictators, etc.)",0,0,0,0.0
969,盗む,ぬすむ,to steal,0,0,0,0.0
970,逃げる,にげる,"to escape, to run away",0,0,0,0.0
971,届ける,とどける,"to deliver, to forward, to send, to report, to file notice (to the authorities)",0,0,0,0.0
972,曇る,くもる,"to become cloudy, to become dim",0,0,0,0.0
973,熱,ねつ,"fever, temperature",0,0,0,0.0
974,背中,せなか,back (of body),0,0,0,0.0
975,泊まる,とまる,"① to stay at (e.g. hotel) ② to be docked, to be berthed, to be moored",0,0,0,0.0
976,髪,かみ,hair (on the head),0,0,0,0.0
977,比べる,くらべる,"① to compare, to make a comparison ② to compete, to vie",0,0,0,0.0
978,必ず,かならず,"always, without exception, necessarily, certainly, without fail, positively, invariably",0,0,0,0.0
979,付く,つく,"① to be attached, to be connected with, to adhere, to stick, to cling ② to remain imprinted, to scar, to stain, to dye ③ to bear (fruit, interest, etc.) ④ to be acquired (of a habit, ability, etc.), to increase (of strength, etc.) ⑤ to take root ⑥ to accompany, to attend, to follow, to study with ⑦ to side with, to belong to ⑧ to possess, to haunt ⑨ to be lit, to be lighted ⑩ to be settled, to be resolved, to be decided ⑪ to be given (of a name, price, etc.) ⑫ to be sensed, to be perceived ⑬ to be lucky ⑭ (after -masu stems, onomatopoeic and mimetic words) to become (a state, condition, etc.)",0,0,0,0.0
980,夫,おっと,husband,0,0,0,0.0
981,布団,ふとん,① futon (quilted Japanese-style mattress laid out on the floor) ② round cushion used for Zen meditation (traditionally made of woven bulrush leaves),0,0,0,0.0
982,普通,ふつう,"① general, ordinary, usual ② normally, generally, usually ③ train that stops at every station",0,0,0,0.0
983,復習,ふくしゅう,"review, revision",0,0,0,0.0
984,複雑,ふくざつ,"complex, complicated",0,0,0,0.0
985,払う,はらう,"① to pay ② to brush, to wipe",0,0,0,0.0
986,仏教,ぶっきょう,Buddhism,0,0,0,0.0
987,文法,ぶんぽう,"grammar, syntax",0,0,0,0.0
988,壁,かべ,"① wall, barrier ② Chinese ""Wall"" constellation (one of the 28 mansions)",0,0,0,0.0
989,変,へん,"① strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy ② unexpected ③ change ④ incident, disturbance, disaster, accident ⑤ flat (music)",0,0,0,0.0
