japanese,pronounce,english
出来る,できる,"① to be able (in a position) to do, to be up to the task ② to be ready, to be completed ③ to be made, to be built ④ to be good at, to be permitted (to do) ⑤ to become intimate, to take up (with somebody) ⑥ to grow, to be raised"
書く,かく,to write
女,おんな,woman
女の子,おんなのこ,girl
小さい,ちいさい,"small, little, tiny"
少し,すこし,"① small quantity, little, few, something ② little while ③ short distance"
上,うえ,"① above, up, over ② top, summit ③ surface, on ④ before, previous ⑤ superiority, one's superior (i.e. one's elder) ⑥ on top of that, besides, what's more ⑦ upon (further inspection, etc.), based on (and occurring after) ⑧ matters concerning..., as concerns ... ⑨ since (i.e. ""for that reason"") ⑩ suffix indicating higher social standing"
上げる,あげる,"① to raise, to elevate ② to do up (one's hair) ③ to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.) ④ to land (a boat) ⑤ to show someone (into a room) ⑥ (uk) to summon (for geishas, etc.) ⑦ to send someone (away) ⑧ to enrol (one's child in school) (enroll) ⑨ to increase (price, quality, status, etc.) ⑩ to make (a loud sound), to raise (one's voice) ⑪ to earn (something desirable) ⑫ to praise ⑬ to give (an example, etc.), to cite ⑭ to summon up (all of one's energy, etc.) ⑮ to arrest ⑯ to nominate ⑰ to give ⑱ to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.) ⑲ to bear (a child) ⑳ to conduct (a ceremony, esp. a wedding) ○ (of the tide) to come in ○ to vomit ○ (after the -te form of a verb) to do for (the sake of someone else) ○ (after the -masu stem of a verb) to complete ○ used after the -masu stem of a humble verb to increase the level of humility"
上手,じょうず,"① skill, skillful, dexterity ② flattery"
食べる,たべる,to eat
新聞,しんぶん,newspaper
人,じん,"① -ian (e.g. Italian, etc.) (attaches to name of country to denote nationality), -er (e.g. performer, etc.) (attaches to name of occupation) ② (usu. in compound words) man, person, people"
水,みず,"water (cold, fresh)"
生まれる,うまれる,to be born
西,にし,west
先,さき,"① previous, prior, former, some time ago, preceding ② point (e.g. pencil), tip, end, nozzle ③ head (of a line), front ④ ahead, the other side ⑤ the future, hereafter ⑥ destination ⑦ the other party"
先月,せんげつ,last month
先週,せんしゅう,"last week, the week before"
先生,せんせい,"① teacher, master, doctor ② with names of teachers, etc. as an honorific"
千,せん,"1,000, thousand"
前,まえ,"① ago, before (some event), previously, (minutes) to (the hour) ② in front (of), before (e.g. the house) ③ head (of a line), front (e.g. of a bus), fore part ④ in the presence of ⑤ helping, portion ⑥ privates, private parts"
足,あし,① foot ② leg ③ gait ④ pace
大学,だいがく,"① post-secondary education institution, incl. university, college, etc. ② the Great Learning - one of the Four Books"
大人,おとな,adult
男,おとこ,man
男の子,おとこのこ,"boy, male child, baby boy"
長い,ながい,"① long (distance) ② long (time), lengthy"
天気,てんき,"① weather, the elements ② fair weather, fine weather"
電気,でんき,① electricity ② (electric) light
電車,でんしゃ,(electric) train
電話,でんわ,telephone
東,ひがし,east
道,みち,"① road, street, way, path, course, route, lane ② distance, ways (e.g. ""a long ways"") ③ the way (of proper conduct, etc.), one's way, morals ④ teachings (esp. Confucian or Buddhist), dogma ⑤ field (of medicine, etc.), subject ⑥ way, method, means"
読む,よむ,to read
南,みなみ,south
二,に,two
二つ,ふたつ,two
日本語,にほんご,Japanese (language)
入る,はいる,"① to enter ② to break into ③ to join, to enroll ④ to contain, to hold, to accommodate ⑤ to have (an income of)"
入れる,いれる,"① to put in, to let in, to take in, to bring in, to insert, to set (a jewel, etc.) ② to admit, to accept, to employ, to hire ③ to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to ④ to include ⑤ to pay (one's rent, etc.) ⑥ to cast (a vote) ⑦ to make (tea, coffee, etc.) ⑧ to turn on (a switch, etc.) ⑨ to send (a fax), to call"
買う,かう,"① to buy ② to value, to have a high opinion ③ to stir, to provoke"
白,しろ,"① white ② good guy, 'white hat'"
白い,しろい,white
半,はん,"half, semi-"
半分,はんぶん,half
百,ひゃく,"100, hundred"
父,ちち,father
分,ふん,minute
母,はは,mother
北,きた,north
本,ほん,"① book, volume ② main, head, this, our, present, real ③ counter for long cylindrical things"
毎週,まいしゅう,every week
毎日,まいにち,every day
名前,なまえ,"① name, full name ② given name, first name"
木,き,"tree, wood, timber"
来る,くる,"① to come (spatially or temporally), to approach, to arrive ② to come back, to do ... and come back ③ to come to be, to become, to get, to grow, to continue ④ to come from, to be caused by, to derive from ⑤ to come to (i.e. ""when it comes to spinach ..."")"
来月,らいげつ,next month
来週,らいしゅう,next week
来年,らいねん,next year
話す,はなす,to speak
何,なに,① what ② how many (some counter)
